IQ,Major,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
74,Pharmacy,9.04,9.1,1,Yes,3,9,4,Yes
83,Computer Science,6.92,6.63,7,No,7,5,2,No
118,Engineering,7.36,7.31,3,No,0,2,0,No
97,Marketing,9.34,9.53,8,No,9,1,3,No
91,Design,7.07,7.41,2,No,9,2,0,No
102,Marketing,7.67,8.13,4,No,8,2,5,No
107,Finance,5.1,5.21,2,No,5,1,2,No
116,Finance,5.79,5.82,4,Yes,4,8,0,No
121,Psychology,8.21,7.73,1,No,8,3,3,No
94,Pharmacy,8.58,8.15,10,Yes,8,10,3,Yes
80,Engineering,7.91,7.57,5,No,8,10,4,No
93,Education,5.72,5.27,3,Yes,2,8,5,No
103,Education,7.23,7.13,9,No,7,6,2,No
85,Engineering,6.78,6.62,4,No,9,1,0,No
85,Computer Science,7.48,7.62,6,No,3,7,4,No
105,Pharmacy,9.35,9.39,9,Yes,3,3,4,No
99,Marketing,8.88,8.98,2,Yes,6,9,0,No
100,Computer Science,5.42,5.39,7,Yes,7,9,2,No
88,Restaurant,9.45,9.23,3,No,3,4,2,No
96,Engineering,7.36,7.81,1,No,10,2,5,No
86,Marketing,8.72,8.31,9,No,9,10,3,Yes
113,Education,5.7,6.14,9,Yes,5,9,2,Yes
115,Business,8.35,8.16,4,No,0,5,4,Yes
72,Psychology,6.18,6.19,9,Yes,1,8,3,No
86,Education,7.19,6.8,7,Yes,4,9,1,No
77,Pharmacy,5.08,4.65,4,Yes,3,1,3,No
90,Finance,5.76,5.69,2,Yes,2,3,4,No
98,Business,5.46,5.7,5,Yes,10,7,5,No
78,Psychology,6.2,5.97,8,No,5,2,0,No
86,Psychology,5.5,5.56,10,Yes,9,4,0,No
84,Restaurant,8.46,8.24,10,Yes,5,4,5,No
103,Restaurant,5.15,5.04,6,Yes,10,7,5,No
101,Design,8.09,8.5,5,No,9,2,0,No
89,Education,5.7,6.06,4,Yes,7,8,4,No
102,Education,9.73,9.75,6,No,1,8,5,Yes
91,Education,9.67,9.41,3,Yes,6,6,3,No
95,Design,6.13,5.82,2,No,6,4,0,No
125,Computer Science,8.07,8.52,1,No,1,2,2,Yes
120,Psychology,5.14,4.84,9,No,5,3,1,No
80,Business,9.66,9.97,1,No,4,3,0,No
112,Pharmacy,7.61,7.48,4,No,1,3,5,No
112,Psychology,5.22,5.71,6,No,8,4,0,No
82,Restaurant,6.71,6.58,9,No,7,7,1,No
112,Marketing,5.38,5.23,4,No,6,9,2,Yes
123,Finance,6.96,7.1,7,No,5,10,1,No
83,Design,8.35,8.81,7,No,4,4,0,No
86,Engineering,7.35,7.83,6,Yes,8,7,0,No
115,Marketing,6.92,7.13,9,No,4,10,3,Yes
104,Pharmacy,5.6,5.85,10,No,5,6,5,No
108,Education,6.22,6.28,7,No,2,10,4,No
105,Restaurant,5.5,5.76,3,No,8,9,3,No
105,Restaurant,9.04,9.4,6,No,10,8,3,Yes
80,Restaurant,5.68,5.67,7,No,7,2,3,No
115,Education,7.98,8.1,7,No,8,3,3,Yes
117,Engineering,6.71,6.75,6,No,0,6,3,No
96,Design,6.13,6.19,3,No,0,5,2,No
99,Marketing,8.2,8.59,6,No,1,2,5,No
77,Education,7.29,7.15,2,No,3,2,4,No
107,Pharmacy,7,6.71,10,Yes,9,5,4,No
108,Design,7.96,7.92,1,Yes,4,5,5,No
99,Pharmacy,7.46,7.17,8,Yes,6,1,4,No
116,Design,6.52,6.52,3,No,3,10,2,Yes
94,Engineering,7.8,8.2,8,No,0,3,2,No
108,Finance,8.35,8.47,3,No,7,9,5,Yes
84,Pharmacy,5.13,5.49,2,Yes,10,10,2,No
99,Education,7.33,7,8,Yes,2,3,0,No
97,Design,5.29,5.69,3,Yes,8,6,4,No
103,Restaurant,5.93,6.03,8,Yes,1,6,1,No
94,Psychology,7.8,7.33,2,No,10,2,3,No
98,Restaurant,9.33,9.46,4,No,0,7,0,No
112,Computer Science,9.41,9.86,9,No,9,9,0,Yes
93,Finance,5.35,4.93,1,No,7,9,3,No
75,Finance,7.1,7.18,2,No,2,8,0,No
126,Restaurant,7.92,8.34,2,Yes,0,5,2,Yes
120,Marketing,5.74,5.25,9,No,10,8,0,No
80,Engineering,8.83,8.96,10,No,2,9,4,Yes
110,Pharmacy,8.72,8.69,5,No,7,1,4,No
92,Education,9.52,9.37,4,No,10,1,5,No
103,Finance,5.04,5.17,10,Yes,3,5,5,No
104,Restaurant,6.08,5.63,10,No,9,7,1,No
96,Restaurant,9.14,9.39,4,Yes,10,9,4,Yes
88,Engineering,8.35,7.85,7,No,6,9,3,No
89,Engineering,9.47,9.28,3,No,7,3,3,No
86,Business,5.29,5.29,9,Yes,6,1,4,No
87,Business,7.98,7.86,5,Yes,0,3,2,No
98,Marketing,7.85,7.66,9,No,3,8,4,No
89,Marketing,5.18,5.51,1,No,9,7,2,No
110,Computer Science,7.57,8,10,No,8,5,5,No
122,Marketing,8.05,8.42,8,No,6,10,3,Yes
91,Design,5.96,5.98,2,No,0,9,4,No
103,Engineering,6.37,6.75,8,Yes,7,4,5,No
107,Education,8.2,8.62,4,Yes,3,6,1,No
107,Design,7.34,7.25,2,No,6,5,3,No
101,Pharmacy,9.29,9.07,2,No,5,6,1,No
111,Restaurant,6.71,6.31,6,No,6,4,3,No
107,Marketing,6.33,6.31,3,Yes,9,3,0,No
81,Restaurant,9.92,10.37,10,No,9,5,5,No
113,Finance,9.56,9.62,3,No,0,5,0,No
113,Computer Science,5.14,5.31,9,No,5,2,0,No
88,Finance,8.85,8.46,5,No,2,10,1,No
100,Computer Science,5.55,5.19,7,No,9,4,2,No
110,Business,5.14,5.1,5,Yes,3,3,3,No
96,Restaurant,6.37,6.82,2,No,0,7,0,No
116,Computer Science,6.35,6.21,8,Yes,9,5,1,No
135,Psychology,9.1,9.48,9,No,7,6,3,Yes
88,Design,8.55,8.17,2,No,1,7,0,No
79,Computer Science,9.91,10.03,2,No,2,2,0,No
104,Computer Science,8.56,8.66,4,No,6,10,0,No
110,Design,7.09,7.45,8,No,1,4,1,No
96,Restaurant,8.49,7.99,5,No,3,6,2,No
121,Restaurant,10,9.69,5,No,6,3,5,Yes
79,Design,8.55,8.27,7,Yes,2,6,5,No
110,Finance,8.81,9.26,4,Yes,1,10,0,No
90,Psychology,9.69,9.34,9,No,7,1,0,No
125,Education,5.57,5.11,4,Yes,1,8,2,Yes
129,Pharmacy,8.52,8.55,8,Yes,9,10,5,Yes
88,Psychology,9.25,9.28,3,No,6,5,2,No
91,Restaurant,9.77,10.11,6,No,10,1,4,No
112,Education,6.05,6.5,1,No,2,10,0,No
94,Business,7.52,7.56,7,No,3,10,5,No
99,Marketing,8.4,8.83,7,Yes,5,1,3,No
100,Computer Science,6.24,6.47,2,No,10,10,4,No
71,Design,8,7.76,5,No,2,3,3,No
99,Design,6.29,6.72,4,Yes,0,6,2,No
89,Computer Science,6.67,6.84,10,No,7,2,5,No
92,Marketing,7.21,7.12,9,No,3,8,4,No
121,Pharmacy,7.65,7.83,2,No,0,10,1,No
81,Marketing,7.25,7.15,3,No,1,7,4,No
112,Education,7.47,7.08,1,No,5,2,4,No
95,Marketing,6.49,6.71,10,No,0,1,2,No
95,Education,5.79,6.11,5,Yes,8,7,0,No
111,Marketing,5.24,5.47,3,No,6,7,2,No
105,Pharmacy,5.98,5.71,4,Yes,7,3,2,No
108,Pharmacy,7.91,8.37,4,No,7,10,2,Yes
114,Restaurant,8.93,8.46,6,No,5,8,3,Yes
95,Computer Science,5.85,5.68,10,No,7,8,5,No
90,Pharmacy,5.54,5.3,7,No,6,5,1,No
83,Education,8.75,8.3,7,Yes,0,7,3,No
87,Pharmacy,6.53,6.44,8,No,2,3,4,No
144,Restaurant,9.76,9.88,3,Yes,8,6,2,Yes
118,Design,8.57,8.95,5,Yes,7,3,5,Yes
79,Education,6.63,7.12,10,No,4,9,0,No
80,Restaurant,6.45,6.76,6,No,0,7,2,No
107,Finance,7.62,7.59,6,No,1,1,3,No
108,Finance,5.4,5.62,8,Yes,9,8,5,No
108,Business,5.59,5.93,5,No,9,9,1,No
96,Marketing,5.88,5.85,5,Yes,8,10,3,No
98,Computer Science,8.87,9.16,1,Yes,9,2,2,No
104,Engineering,7.57,7.55,1,No,7,1,5,No
101,Psychology,5.05,4.94,6,Yes,8,4,1,No
66,Restaurant,8.37,8.4,10,Yes,1,9,0,No
96,Design,7.12,7.3,10,No,2,6,3,No
87,Psychology,7.55,7.78,5,Yes,2,10,5,No
102,Design,6.07,5.93,10,Yes,0,8,3,No
144,Psychology,7.76,7.83,6,No,1,7,5,No
105,Restaurant,9.9,10.31,9,No,9,5,4,No
95,Engineering,5.37,5.85,8,No,4,5,5,No
113,Psychology,6.42,6.15,7,Yes,6,6,1,No
107,Restaurant,6.21,5.9,7,No,5,6,3,No
106,Pharmacy,6.24,6.42,6,No,1,5,4,No
109,Engineering,6.89,6.8,6,Yes,7,8,0,No
130,Education,9.09,8.61,1,No,3,3,5,Yes
83,Design,9.56,9.41,7,No,10,9,3,Yes
107,Finance,6.01,6.32,5,No,1,5,3,No
86,Marketing,7.71,8.01,7,No,3,9,2,Yes
108,Finance,8.18,8.17,6,No,7,5,3,No
86,Engineering,7.61,7.58,8,No,0,3,0,No
93,Education,7.17,7.25,3,Yes,10,9,5,No
95,Design,5.96,5.68,8,Yes,8,2,4,No
114,Education,7.44,7.47,7,No,7,5,5,No
113,Psychology,7.01,6.52,1,No,7,3,1,No
81,Design,8.98,8.96,3,No,9,7,0,No
100,Psychology,8.82,8.66,10,Yes,8,4,1,No
89,Restaurant,5.67,5.84,4,No,6,8,0,No
81,Engineering,5.44,5.58,9,Yes,10,1,5,No
96,Restaurant,9.54,9.42,6,No,8,5,5,No
95,Business,7.68,7.19,7,No,0,8,4,No
136,Education,9.29,9.04,5,No,0,2,2,Yes
106,Psychology,5.29,5.42,3,Yes,3,6,4,No
79,Pharmacy,7.63,7.2,5,Yes,1,7,5,No
91,Restaurant,7.7,7.31,7,No,7,6,1,No
115,Business,9.3,9.45,9,No,0,10,1,Yes
131,Computer Science,5.49,5.75,9,Yes,3,3,5,No
76,Finance,6.2,6.02,8,No,10,6,3,No
71,Design,7.03,7.02,5,No,10,7,5,No
128,Business,9.33,9.78,7,Yes,8,3,2,Yes
105,Engineering,9.69,10.14,4,Yes,1,10,4,Yes
86,Restaurant,9.96,9.77,10,No,5,2,5,No
108,Engineering,9.8,10.11,5,Yes,3,3,4,No
60,Finance,5.03,5.12,4,Yes,3,1,1,No
100,Pharmacy,5.24,5.72,3,No,5,7,2,No
104,Education,5.74,5.72,1,No,9,4,4,No
113,Education,6.74,7.01,5,No,3,3,2,No
84,Engineering,9.15,9.42,2,Yes,8,6,2,No
101,Psychology,9.46,9.46,6,No,7,3,4,No
86,Pharmacy,5.93,6.23,5,No,7,10,5,No
103,Education,8.1,7.86,2,Yes,4,3,2,No
86,Pharmacy,9.59,9.21,8,No,5,9,5,Yes
93,Business,7.32,7.25,5,No,0,2,0,No
85,Pharmacy,5.52,5.96,2,Yes,0,5,1,No
109,Marketing,7.29,7.29,1,Yes,8,10,2,No
112,Finance,6.88,7.02,2,No,3,10,2,Yes
96,Education,7.89,8.01,1,Yes,2,2,0,No
100,Pharmacy,7.19,6.82,10,No,4,6,3,No
78,Engineering,5.09,4.98,10,No,8,4,2,No
95,Computer Science,9.97,10.18,3,No,8,7,4,No
99,Marketing,7.72,8.19,3,Yes,2,1,5,No
139,Marketing,7.37,7.04,10,No,6,8,5,Yes
83,Psychology,9.77,9.68,1,No,2,2,3,No
121,Pharmacy,5.78,5.38,7,Yes,2,4,5,No
114,Psychology,5.95,5.69,10,No,3,7,5,No
104,Psychology,9.04,8.92,7,No,1,8,5,Yes
126,Computer Science,6.3,6.34,9,Yes,5,9,3,Yes
105,Business,9,8.73,5,Yes,4,5,0,No
105,Pharmacy,6.36,6.09,4,Yes,9,9,4,No
99,Restaurant,5.17,5.45,5,No,9,9,5,No
118,Education,7.59,8.05,8,No,1,3,3,Yes
116,Psychology,5.98,5.8,8,Yes,9,7,2,No
90,Finance,8.79,8.98,4,No,1,8,0,No
80,Design,8.21,7.97,8,Yes,1,1,0,No
96,Finance,9.62,10.05,4,No,3,10,0,No
87,Computer Science,8.91,9.08,4,Yes,2,5,5,No
99,Computer Science,5.9,6.2,8,Yes,8,1,1,No
118,Engineering,9,8.55,2,No,4,3,3,Yes
93,Business,8.21,8.31,4,No,0,2,5,No
99,Education,8.34,8.37,1,No,1,2,4,No
100,Psychology,9.16,8.95,1,No,6,4,4,No
112,Finance,7.87,7.63,8,No,7,5,1,No
66,Design,7.33,7.41,4,No,5,1,5,No
90,Computer Science,8.18,8.39,6,Yes,6,6,2,No
103,Computer Science,6.49,6.02,5,No,1,5,3,No
118,Business,5.91,5.98,10,Yes,5,4,0,No
92,Design,8.08,7.75,6,Yes,5,6,1,No
71,Design,6.17,5.81,4,No,3,2,1,No
109,Business,5.4,5.52,4,No,10,8,3,No
90,Computer Science,5,4.81,7,No,3,6,4,No
82,Education,8.04,7.98,1,No,1,3,5,No
90,Pharmacy,6.81,6.67,9,Yes,2,4,3,No
97,Pharmacy,8.76,8.91,10,No,9,2,4,No
90,Business,6.88,6.85,3,No,5,4,3,No
66,Design,7.43,7.89,4,No,3,9,4,No
113,Psychology,7.04,6.89,9,No,2,4,5,No
119,Business,8.25,8.49,5,No,0,8,1,Yes
109,Education,6.78,6.54,4,No,10,3,4,No
82,Business,9.82,9.83,6,Yes,10,5,3,No
96,Marketing,9.68,9.73,1,No,10,2,2,No
99,Finance,9.24,9.07,10,No,2,9,3,Yes
108,Design,9.6,9.57,1,No,0,9,1,No
110,Engineering,7.25,7.03,5,Yes,3,10,4,No
88,Engineering,7.68,7.19,5,No,3,7,4,No
101,Design,8.71,8.43,9,No,10,2,4,No
106,Education,8.48,8.68,1,No,0,4,1,No
121,Marketing,9.45,9.72,3,No,6,6,5,Yes
110,Marketing,8.58,8.36,3,No,4,9,3,Yes
111,Computer Science,9.99,9.9,4,No,0,6,4,Yes
101,Finance,6.74,6.28,7,Yes,4,4,2,No
121,Pharmacy,9.16,8.9,7,Yes,6,1,5,Yes
106,Restaurant,8.49,8.77,10,No,5,7,2,No
87,Education,8.46,8.57,5,Yes,9,7,0,No
121,Restaurant,6.63,6.34,9,No,4,6,2,No
110,Restaurant,8.93,8.69,7,Yes,7,3,0,No
93,Design,9.5,9.82,2,Yes,8,5,4,No
92,Engineering,6.09,5.8,3,Yes,0,7,1,No
104,Engineering,8.13,7.96,7,No,5,6,1,No
106,Pharmacy,6.96,7.12,5,No,1,7,1,No
102,Design,9.95,10.01,7,No,7,5,4,No
104,Restaurant,7.39,7.35,9,No,4,1,4,No
125,Psychology,6.14,6.54,9,No,0,10,3,Yes
116,Engineering,6.91,6.63,3,Yes,4,5,5,No
102,Education,8.27,8.51,8,Yes,9,2,2,No
114,Education,5.38,5.04,6,No,4,10,4,Yes
84,Computer Science,8.02,8.14,4,No,1,10,2,Yes
105,Business,9.66,10.03,4,No,3,2,1,No
127,Psychology,9.25,9.21,4,No,5,4,2,Yes
96,Engineering,5.34,5.56,7,Yes,0,6,3,No
87,Marketing,9.97,10.29,6,Yes,10,5,1,No
90,Engineering,8.49,8.13,2,No,8,7,2,No
83,Computer Science,5.81,6.02,5,Yes,6,10,3,No
88,Education,5.06,5.48,5,Yes,5,8,5,No
94,Restaurant,5.86,5.94,6,Yes,0,10,2,No
78,Marketing,9.19,8.88,7,No,7,1,3,No
100,Design,5.11,4.74,8,Yes,7,8,2,No
113,Finance,6.17,5.93,10,Yes,3,3,1,No
86,Restaurant,8.79,8.39,8,No,3,10,1,No
122,Finance,7.93,7.94,5,Yes,0,10,0,No
107,Psychology,8.91,8.48,2,Yes,8,2,3,No
115,Business,8.73,8.45,10,Yes,7,2,2,Yes
90,Marketing,5.25,5.19,8,Yes,9,5,5,No
112,Pharmacy,9.46,9.43,6,No,6,2,2,Yes
83,Marketing,6.14,6.21,3,Yes,1,4,2,No
113,Engineering,7.77,7.98,4,No,6,3,4,No
102,Education,8.22,7.77,1,Yes,3,8,3,No
108,Engineering,5.84,5.42,3,No,2,9,2,No
82,Engineering,9.88,9.44,4,No,10,6,0,No
86,Psychology,7.44,7.36,2,No,9,4,1,No
108,Restaurant,5.29,4.83,6,No,3,2,4,No
85,Pharmacy,9.69,9.94,8,Yes,9,8,4,Yes
106,Pharmacy,7.93,7.65,6,No,5,3,1,No
79,Engineering,8.5,8.94,10,No,6,2,5,No
112,Finance,7.63,7.62,3,No,1,4,5,No
81,Psychology,9.17,9.12,9,Yes,6,2,4,No
108,Engineering,5.17,5.45,4,Yes,9,3,0,No
109,Business,6.34,6.55,6,No,1,9,0,No
89,Education,7.35,7.46,4,No,10,7,1,No
108,Restaurant,5.38,5.82,4,No,1,1,3,No
103,Design,8.53,8.45,2,No,0,10,5,Yes
91,Business,6.97,7.28,10,Yes,10,5,4,No
84,Finance,6.36,6.24,2,No,6,5,2,No
70,Marketing,5.02,5.36,2,No,0,9,5,No
105,Marketing,8.6,8.36,2,No,2,1,2,No
76,Business,9.17,8.96,8,Yes,10,1,0,No
101,Engineering,6.98,7.16,10,No,7,10,3,No
96,Design,7.82,7.53,4,Yes,0,7,3,No
110,Computer Science,6.14,5.87,4,No,5,7,5,No
95,Computer Science,8.11,7.92,10,No,1,8,4,No
95,Finance,5.06,5.24,10,No,8,4,5,No
110,Engineering,7.44,7.83,3,No,1,7,4,No
105,Pharmacy,8.22,8.39,5,No,5,6,1,No
104,Pharmacy,9.59,9.92,4,No,3,1,0,No
107,Restaurant,6.91,6.95,7,Yes,8,2,1,No
76,Design,8.83,8.4,10,No,0,8,1,No
111,Design,7.99,7.59,7,No,0,6,3,No
109,Marketing,9.64,9.69,6,Yes,9,7,4,No
84,Psychology,6.99,6.82,7,No,2,8,2,No
96,Finance,6.6,6.32,7,Yes,10,5,1,No
99,Computer Science,9.44,9.41,8,Yes,5,5,0,No
97,Finance,5.25,5.42,1,Yes,2,2,1,No
105,Pharmacy,5.68,5.56,3,No,6,4,2,No
121,Pharmacy,5.41,5.71,3,No,8,2,2,No
116,Business,9.22,9.46,5,No,9,7,0,No
80,Restaurant,5.05,5.28,10,Yes,1,9,5,No
109,Design,9.31,9.8,7,Yes,3,2,2,No
119,Education,7.26,7.06,10,No,2,4,2,No
105,Finance,5.02,5.16,6,Yes,5,8,5,No
116,Pharmacy,7.01,7.37,4,No,4,9,2,Yes
130,Psychology,5.93,6.01,6,No,2,4,1,No
115,Marketing,8.12,8.41,7,No,8,8,0,Yes
103,Computer Science,8.4,8.31,4,No,7,7,1,No
115,Restaurant,7.44,7.53,8,Yes,2,5,5,No
102,Psychology,5.2,4.76,5,No,9,4,0,No
100,Restaurant,8.28,8.77,3,Yes,4,6,2,No
94,Business,9.21,9.51,2,No,4,6,2,No
123,Education,8.6,8.97,1,No,4,2,4,Yes
87,Pharmacy,9.15,9.34,4,No,7,3,2,No
122,Marketing,6,5.69,2,Yes,2,6,0,No
107,Psychology,9.44,8.97,3,No,2,4,3,No
79,Restaurant,6.61,6.97,1,No,7,3,0,No
105,Design,5.07,4.97,6,No,8,4,2,No
68,Business,9.22,8.98,4,No,4,6,2,No
109,Design,9.71,9.77,5,No,9,3,3,No
113,Marketing,8.28,8.2,8,No,7,1,2,Yes
91,Psychology,6.16,6.31,4,No,4,6,4,No
101,Business,6.26,6.24,6,No,3,2,3,No
129,Psychology,7.33,7.53,3,No,1,9,1,No
92,Pharmacy,9.49,9.84,8,No,10,6,5,No
84,Engineering,5.75,5.45,3,Yes,3,1,4,No
122,Business,9.13,8.96,7,No,1,4,0,No
129,Design,6.46,6.4,7,No,6,5,5,No
100,Marketing,9.04,9.5,3,Yes,6,8,5,Yes
115,Education,9.6,9.47,3,Yes,8,3,4,Yes
120,Pharmacy,7.14,7.02,10,No,3,9,4,Yes
88,Engineering,6.83,6.98,10,No,4,9,2,No
92,Education,9.01,8.93,8,Yes,10,10,1,No
118,Computer Science,7.65,8.1,3,No,3,5,3,Yes
125,Pharmacy,8.42,8.81,2,No,3,4,5,Yes
108,Marketing,8.11,8.12,5,Yes,4,7,4,No
86,Restaurant,5.76,5.9,7,Yes,2,9,5,No
129,Business,9.22,8.78,8,No,8,6,2,Yes
92,Psychology,5.98,6.18,1,Yes,6,7,4,No
94,Marketing,9.66,9.87,2,Yes,0,1,1,No
105,Business,6.25,6.11,7,Yes,0,4,3,No
123,Education,8.67,8.39,9,Yes,0,2,2,Yes
112,Psychology,6.42,6.84,3,Yes,2,1,4,No
106,Finance,6.59,6.52,8,Yes,8,7,1,No
106,Design,6.55,6.7,10,No,7,10,0,No
100,Computer Science,8.74,8.27,3,No,8,4,0,No
108,Pharmacy,7.78,7.69,4,Yes,4,2,1,No
62,Marketing,9.41,9.73,2,No,6,5,5,No
95,Computer Science,6.54,6.43,9,Yes,9,7,3,No
103,Restaurant,8.46,8.56,5,No,8,2,4,No
82,Business,8.76,8.47,5,Yes,4,7,4,No
105,Business,5.76,5.68,4,No,7,3,1,No
96,Marketing,7,7.43,5,Yes,7,8,4,No
126,Engineering,7.41,7.48,1,No,2,7,3,No
123,Engineering,6.78,7.18,10,Yes,4,1,1,No
93,Finance,6.61,7.01,10,Yes,7,9,5,No
97,Design,8.43,8.87,6,No,9,6,0,No
98,Psychology,6.08,6.48,4,No,2,4,0,No
93,Restaurant,8.55,8.05,4,No,2,6,2,No
102,Computer Science,9.68,10.11,5,No,5,2,5,No
88,Engineering,7.83,7.47,1,Yes,6,2,5,No
83,Finance,8.06,7.6,4,No,6,8,0,No
109,Finance,5.34,4.9,10,No,5,10,4,No
109,Marketing,9.32,9.17,3,Yes,6,5,3,No
87,Restaurant,6.43,6.55,5,No,6,7,3,No
113,Education,8.08,7.98,10,No,3,1,2,No
90,Psychology,9.9,9.43,5,Yes,7,6,5,No
103,Design,7.98,7.96,8,Yes,7,10,4,No
112,Pharmacy,8.62,8.56,1,Yes,1,7,5,Yes
99,Marketing,7.23,7.49,3,No,9,10,1,No
106,Psychology,5.3,5.08,5,No,4,7,2,No
92,Pharmacy,8.99,8.71,3,No,1,10,4,Yes
97,Pharmacy,5.17,4.93,6,No,2,3,1,No
96,Restaurant,8.5,8.3,10,Yes,2,9,0,No
88,Restaurant,5.11,5.21,3,Yes,4,9,0,No
97,Computer Science,9.31,9.28,6,No,7,5,1,No
76,Finance,5.79,5.63,8,No,2,9,2,No
92,Psychology,7.57,7.44,4,Yes,6,7,1,No
95,Marketing,7.99,7.86,8,Yes,4,7,5,No
96,Business,7.29,7.76,7,Yes,9,9,4,No
96,Marketing,6.7,6.43,4,Yes,9,2,5,No
99,Computer Science,7.34,7.66,3,Yes,9,10,5,No
107,Design,6.56,6.77,5,Yes,3,5,1,No
113,Finance,7.19,6.7,5,Yes,1,8,4,Yes
90,Business,6.79,7.28,7,No,5,8,4,No
81,Engineering,7.83,8.09,1,No,3,3,0,No
84,Design,6.19,6.37,9,No,3,5,4,No
92,Restaurant,9.94,9.85,2,No,4,4,3,No
94,Pharmacy,7.5,7.56,9,No,8,4,5,No
88,Engineering,5.97,5.72,9,No,0,2,0,No
80,Marketing,7.39,6.93,3,Yes,4,6,5,No
93,Marketing,9.33,9.67,7,No,4,1,0,No
102,Restaurant,5.11,5.51,3,Yes,1,8,1,No
108,Computer Science,8.4,8.06,8,Yes,2,10,4,Yes
91,Psychology,7.74,8.03,8,No,3,9,5,Yes
93,Engineering,5.85,6.09,3,Yes,0,5,1,No
86,Engineering,9.09,8.77,5,No,9,6,4,No
99,Education,6.84,6.76,7,No,2,1,0,No
87,Design,6.47,6.39,1,Yes,0,6,3,No
108,Finance,9.14,9.4,3,Yes,0,1,5,No
73,Design,8.19,8.53,1,Yes,8,5,0,No
94,Psychology,9.49,9.08,2,No,3,9,2,Yes
104,Marketing,8.15,8.21,7,Yes,3,5,1,No
102,Marketing,8.7,8.96,7,No,3,3,3,No
140,Marketing,9.18,9.47,3,Yes,10,4,1,No
105,Education,5.27,4.92,6,Yes,8,3,4,No
84,Marketing,8.88,8.91,6,No,10,4,1,No
98,Psychology,8.07,8.43,2,No,7,10,0,No
73,Restaurant,5.35,5.17,9,No,3,6,0,No
98,Finance,7.54,7.47,8,No,5,3,1,No
87,Psychology,5.41,5.71,2,No,1,5,4,No
113,Finance,8.68,8.27,4,No,5,7,4,Yes
91,Psychology,7.73,8.09,9,No,0,1,3,No
98,Marketing,9.77,9.58,4,No,4,3,0,No
90,Restaurant,5.92,5.42,7,No,7,6,1,No
126,Engineering,8.03,7.76,5,No,0,10,3,Yes
95,Design,6.06,5.65,10,Yes,10,2,2,No
127,Pharmacy,8.07,7.66,6,No,1,8,3,Yes
112,Restaurant,8.61,8.8,1,Yes,2,7,5,Yes
107,Engineering,8.61,8.32,4,Yes,6,2,2,No
105,Computer Science,9.08,9.51,5,No,7,5,2,No
105,Psychology,9.27,9.29,6,Yes,3,4,3,No
71,Computer Science,5.39,5.35,6,No,7,2,0,No
95,Engineering,6.72,6.65,5,Yes,0,4,3,No
112,Restaurant,8.44,8.63,3,No,2,9,3,Yes
99,Psychology,7.49,7.44,2,No,3,10,5,No
78,Pharmacy,5.95,5.58,7,No,4,2,0,No
99,Marketing,7.76,8.14,1,No,10,10,0,No
125,Psychology,7.04,6.97,5,Yes,8,10,5,Yes
118,Psychology,6.95,6.52,4,No,1,6,0,No
99,Restaurant,9.05,9.08,7,Yes,6,4,0,No
114,Restaurant,7.04,7.19,2,Yes,2,8,5,Yes
94,Engineering,5.13,4.91,8,No,9,4,0,No
74,Business,5.29,5.59,9,No,1,9,5,No
86,Psychology,9.28,9.45,10,Yes,8,10,0,No
123,Design,9.8,9.95,1,No,2,3,3,Yes
95,Psychology,8.44,8.36,5,No,7,7,5,No
96,Engineering,6.82,7.28,4,No,0,5,1,No
95,Finance,9.69,9.46,5,Yes,4,1,1,No
128,Computer Science,8.31,8.39,9,No,4,3,1,No
124,Marketing,9.22,9.03,3,No,5,9,3,Yes
133,Business,8.83,9.07,1,Yes,6,9,0,Yes
97,Pharmacy,6.9,6.45,3,Yes,2,5,2,No
104,Pharmacy,7.39,6.94,4,No,4,5,0,No
77,Pharmacy,5.93,6.24,2,No,7,4,4,No
122,Restaurant,6.46,6.39,1,No,5,4,0,No
82,Pharmacy,8.89,8.73,1,No,1,4,5,No
103,Marketing,9.47,9.58,8,No,6,2,5,No
83,Computer Science,8.62,8.82,4,No,2,7,1,No
91,Pharmacy,7.33,7.03,2,No,9,3,0,No
87,Psychology,5.43,5.12,10,Yes,8,1,0,No
90,Psychology,5.28,5.74,3,Yes,3,10,5,No
91,Restaurant,6.87,6.96,8,No,10,3,4,No
91,Marketing,7.32,7.21,6,No,3,9,2,No
112,Computer Science,8.05,8.35,8,No,3,9,2,Yes
83,Business,5.03,5.06,10,No,9,10,1,No
103,Engineering,9.95,9.69,5,Yes,9,7,5,No
118,Computer Science,6.82,6.53,3,Yes,7,1,2,No
92,Engineering,9.24,9.14,6,No,0,6,1,No
89,Finance,7.67,8.03,10,Yes,2,10,3,Yes
96,Engineering,5.65,5.21,8,No,7,1,4,No
117,Design,8.99,8.71,5,No,6,2,0,No
102,Psychology,8.55,8.94,5,Yes,5,3,4,No
92,Marketing,7.64,7.26,3,Yes,6,6,2,No
107,Education,7.57,7.7,3,No,0,7,5,No
83,Restaurant,5.44,5.15,8,Yes,7,8,0,No
110,Design,8.28,8.39,1,No,3,9,4,Yes
106,Engineering,9.56,9.44,4,No,0,7,4,No
95,Pharmacy,5.47,5.07,9,Yes,3,6,5,No
87,Marketing,6.32,6.4,6,No,1,5,5,No
